0,undefined
1,ECO
2,太鼓の達人
5,ぐんまけん
6,ファイナルファンタジー
7,ファミ通App
9,Android
10,神羅万象チョコ
11,カピバラさん
14,エヴァ
15,セブン−イレブン
16,CoC
17,undefined
19,undefined
20,高岡市
21,undefined
22,undefined
23,undefined
24,undefined
26,undefined
27,undefined
28,undefined
29,undefined
30,ドラゴンボール
31,聖闘士星矢
36,ビックリマン
37,アングリーバード
38,DCコミックス
40,北斗の拳
41,三国テンカトリガー
45,undefined
46,undefined
47,undefined
48,undefined
49,undefined
50,サンデーオールスターズ
51,クローズ
52,BLEACH
55,逆転裁判
56,るろうに剣心 コラボ
57,Pepperコラボ
58,キン肉マン
59,undefined
60,マガジン
61,モンスターハンター
62,undefined
65,鋼の練金術師
66,KOF
67,幽☆遊☆白書
68,undefined
69,undefined
70,undefined
74,undefined
75,銀魂
76,undefined
77,仮面ライダー コラボ
78,undefined
79,Fate/stay night [Heaven’s Feel]
80,ストリートファイターV アーケードエディションコラボ
81,うまい棒
82,undefined
83,undefined
84,チャンピオン オールスターズ
85,サムライスピリッツ
87,富士見ファンタジア文庫レジェンド
88,シンカリオン
89,遊戯王
90,ミッキー＆フレンズ
91,DMC
92,僕のヒーローアカデミア
93,鬼滅の刃
95,物語シリーズ
96,MARVEL
97,呪術廻戦
98,ダイの大冒険
99,STAR WARS
100,新テニスの王子様
101,ワンパンマン
102,ウルトラマン
103,ゴーちゃん。
104,キングダム
105,ワンピース
106,ジョジョの奇妙な冒険
107,ガンダムシリーズ
108,初音ミク
109,SPY×FAMILY
110,電撃文庫
111,undefined
10001,undefined
10002,undefined
10003,undefined
10004,undefined
10005,undefined
10006,undefined
